# resources allocated into cells in one time step - histograms
0 0 0 0 0 0 0 0 0 0 307 304 301 303 322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 4 15 23 36 28 35 32 41 32 34 26 30 29 37 33 29 27 30 36 24 29 26 32 27 17 30 26 29 24 28 25 19 20 17 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 3 10 23 46 44 42 43 38 48 39 43 36 27 30 35 46 34 35 39 35 31 32 28 37 21 26 33 27 25 24 30 22 25 19 15 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 4 7 15 23 38 28 35 40 45 38 37 41 50 43 37 30 32 35 31 28 21 33 29 18 34 25 48 39 41 22 27 23 24 24 14 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 4 23 25 48 39 42 38 39 45 51 45 32 39 43 39 31 38 36 27 29 26 26 33 29 21 26 22 30 28 25 32 23 23 17 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 3 17 25 45 43 44 46 37 36 48 61 46 37 42 32 35 25 35 33 33 34 21 38 24 26 30 24 27 21 23 26 28 24 19 12 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 1 12 19 39 46 32 34 30 28 39 30 28 30 42 38 35 35 33 44 33 39 29 30 51 31 27 23 25 33 29 27 32 29 20 13 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 1 8 22 48 44 41 44 33 34 38 41 40 29 41 32 52 39 42 28 28 35 36 27 38 34 29 16 31 36 24 28 17 22 17 14 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 3 8 16 37 42 50 42 32 27 47 34 47 44 40 23 44 30 31 33 35 26 25 38 32 26 23 28 33 35 23 25 28 33 18 16 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 2 10 24 29 47 40 41 37 39 34 49 40 33 40 46 32 36 24 25 35 29 26 36 36 28 26 40 38 30 24 30 28 17 14 11 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
