# resources taken by cells in one time step - histograms
1537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 8 13 13 23 20 21 34 32 36 41 53 57 48 47 46 48 58 47 38 37 41 35 40 26 32 19 17 7 0 0 0 0 0 0 0 0 0 0 
136 2 6 13 14 12 23 39 28 45 42 38 52 55 49 42 54 55 48 46 55 37 43 36 42 29 14 21 11 8 0 0 0 0 0 0 0 0 0 0 
149 2 5 4 18 17 13 26 24 40 45 52 32 64 42 49 54 57 47 29 39 39 35 25 49 37 21 22 19 15 0 0 0 0 0 0 0 0 0 0 
39 0 9 9 3 30 34 35 27 41 54 51 29 67 56 53 59 50 52 60 60 37 24 37 52 40 43 18 8 8 0 0 0 0 0 0 0 0 0 0 
248 0 12 4 22 9 36 38 40 37 40 36 43 41 49 56 47 26 16 30 51 22 41 52 19 21 19 25 21 6 0 0 0 0 0 0 0 0 0 0 
226 0 2 15 26 28 29 36 26 32 18 34 25 60 38 30 42 44 86 27 31 51 22 25 32 26 15 16 22 8 0 0 0 0 0 0 0 0 0 0 
0 0 3 24 52 49 56 21 89 53 29 71 87 46 98 25 19 61 34 58 21 14 34 37 39 22 12 24 5 10 0 0 0 0 0 0 0 0 0 0 
115 1 7 17 31 18 23 30 18 42 48 41 60 72 32 72 48 37 36 48 61 22 42 21 37 14 40 16 30 3 0 0 0 0 0 0 0 0 0 0 
151 1 8 20 28 14 22 18 27 77 24 48 65 59 28 39 62 31 31 61 51 32 31 15 28 18 14 37 45 1 0 0 0 0 0 0 0 0 0 0 
225 0 3 2 21 31 17 30 20 39 23 78 50 20 57 29 25 21 40 39 46 14 86 26 18 62 13 24 5 18 0 0 0 0 0 0 0 0 0 0 
238 1 14 30 7 11 43 4 41 17 37 66 11 43 41 58 42 28 82 13 71 34 18 28 48 25 43 3 2 5 0 0 0 0 0 0 0 0 0 0 
83 0 2 0 3 8 37 9 48 87 50 66 20 28 67 119 50 20 57 30 47 60 18 24 21 20 47 20 31 4 0 0 0 0 0 0 0 0 0 0 
