#time env_conditions mean_num_genes STD_of_num_genes num_of_cells res_in_cells res_in_Env mean_age STD_age Shannon_index born killed Envelope_mean Envelope_STD
2400 0.402783 37.2461 1.73735 1077 499446 554.318 157.008 156.41 5.33489 7 6 0.557309 0.0172437
2450 0.147215 37.1487 1.74864 1103 499502 497.94 152.499 156.299 5.25887 10 12 0.557657 0.0167484
2500 -0.95497 36.9694 1.76547 1079 499515 485.446 151.256 152.482 5.1898 7 12 0.557164 0.0167462
2550 -0.20654 36.782 1.77148 1078 499475 525.151 149.898 149.662 5.03141 6 9 0.557744 0.015709
2600 -0.622264 36.7034 1.75433 1099 499478 521.765 146.207 145.219 5.14424 7 8 0.556926 0.0168418
2650 0.830747 36.6105 1.79919 1068 499529 471.08 152.84 146.456 5.14024 7 7 0.556366 0.0180297
2700 -0.485807 36.5046 1.79485 1080 499421 579.385 155.004 148.269 5.1146 7 6 0.555952 0.0184799
2750 0.934749 36.3743 1.85591 1082 499457 542.615 156.757 147.333 5.2142 10 2 0.553501 0.0199983
2800 0.0340511 36.2731 1.88441 1091 499472 527.966 154.834 150.757 5.17862 12 8 0.553526 0.0198409
2850 -0.326333 36.2261 1.96622 1088 499481 519.077 153.316 148.897 5.22199 3 10 0.552537 0.0203673
2900 0.174757 36.1253 1.96393 1101 499434 565.798 152.262 150.071 5.23212 8 6 0.552092 0.0210067
2950 -0.883854 35.98 2.02117 1100 499489 510.86 153.449 152.013 5.22212 12 7 0.551621 0.0208978
3000 0.710195 35.8933 2.07094 1087 499497 503.077 159.345 152.53 5.23828 10 5 0.550998 0.0215793
3050 0.41751 35.6798 2.0466 1093 499463 536.547 157.088 151.84 5.23335 6 8 0.549779 0.0213889
3100 0.0640021 35.5943 2.03697 1087 499437 563.219 154.159 148.968 5.25346 8 3 0.549254 0.0214087
3150 -0.80894 35.4922 2.03235 1087 499454 545.901 153.365 150.662 5.19568 11 8 0.550164 0.0208113
3200 0.559332 35.3163 2.06019 1075 499501 499.119 152.142 150.442 5.14481 14 7 0.550407 0.0203783
3250 0.935272 35.2291 2.05145 1074 499438 562.038 159.223 153.9 5.09645 3 2 0.551241 0.0194025
3300 0.890832 35.0177 2.01221 1076 497780 2219.97 155.62 155.061 5.10007 12 16 0.550427 0.0194544
3350 -0.90836 34.8583 2.07322 1066 499429 571.132 159.094 154.866 5.16246 5 5 0.548769 0.0207859
3400 -0.0948093 34.6697 2.07295 1084 499519 481.475 154.437 157.477 5.11543 10 13 0.548634 0.0198021
3450 -0.268116 34.5355 2.01795 1098 499573 426.675 152.115 151.761 5.11549 8 5 0.549056 0.0198677
3500 -0.667794 34.4251 2.0176 1082 499549 451.086 151.749 149.264 5.12222 8 5 0.547492 0.0202108
3550 -0.043459 34.2652 2.05268 1086 499444 555.867 148.303 152.335 5.07921 6 6 0.547968 0.0200893
3600 0.0583722 34.1798 2.04792 1079 499440 559.694 150.495 149.127 5.05192 7 6 0.548895 0.0194849
3650 0.301334 34.0304 2.05241 1084 499503 497.471 154.058 153.821 5.01675 7 6 0.548976 0.0192656
3700 0.0159947 33.7907 2.04737 1075 499482 517.563 161.437 157.751 4.95216 16 8 0.548918 0.0185188
3750 0.399712 33.624 2.04934 1085 499553 446.691 149.926 155.546 4.92596 7 9 0.548286 0.0196114
3800 -0.817517 33.4615 2.0366 1090 499429 570.968 151.067 153.373 4.88553 9 9 0.548162 0.0194235
3850 0.667521 33.4081 2.05282 1083 499540 460.498 154.628 151.878 4.89727 8 8 0.547499 0.0200474
3900 0.64984 33.2161 2.01185 1083 499438 562.19 152.616 147.71 4.89844 11 3 0.546297 0.0204932
3950 -0.526886 33.1262 2.07672 1078 499489 510.648 155.164 149.96 4.98942 8 7 0.545215 0.0217581
4000 -0.929403 33.0737 2.07467 1086 499477 522.834 152.467 151.06 5.04524 9 7 0.544499 0.0226069
4050 0.241995 33.012 2.03913 1082 499436 563.515 153.577 148.663 5.06137 13 8 0.543844 0.0227054
4100 -0.17874 32.9283 2.02478 1088 499452 548.287 150.233 148.181 5.08431 8 7 0.543183 0.022957
4150 0.117793 32.9368 2.03771 1076 499486 514.349 153.541 150.257 5.10425 9 11 0.544119 0.0232948
4200 -0.821129 32.8379 2.0346 1098 499464 536.344 154.566 149.4 5.07998 5 7 0.543736 0.0225788
4250 0.682018 32.7555 1.99682 1084 499543 457.283 155.385 148.312 5.06236 5 13 0.54388 0.0225891
4300 0.865288 32.5312 1.99387 1075 499465 534.749 153.788 145.612 5.04638 5 10 0.541943 0.0223539
4350 0.680061 32.362 1.98192 1083 499524 476.448 156.608 150.246 5.03807 11 4 0.541812 0.0217395
4400 0.681031 32.1393 1.99907 1084 499464 535.51 153.402 146.095 4.9335 4 8 0.541801 0.0210046
4450 -0.626297 32.0561 2.01229 1088 499451 548.611 154.267 148.121 4.97331 9 6 0.541389 0.0216598
4500 -0.938982 32.0319 2.00999 1096 499448 551.989 160.769 154.796 4.99412 14 9 0.54135 0.0216063
4550 0.685751 32.0301 1.97146 1095 499518 481.703 163.368 160.617 5.01543 6 10 0.54145 0.0216666
4600 -0.2594 31.8939 1.97136 1084 499399 601.259 161.949 155.337 5.02636 7 10 0.539924 0.022277
4650 -0.825155 31.8874 1.91217 1101 499452 548.017 159.825 156.148 5.01585 4 7 0.540086 0.0220125
4700 0.176153 31.8108 1.90129 1089 499433 567.217 160.984 158.739 4.98746 7 10 0.540339 0.0216053
4750 0.382013 31.6768 1.93252 1083 499536 463.78 157.969 153.924 4.98583 5 12 0.538958 0.0217973
4800 -0.849903 31.5825 1.90858 1073 499434 565.742 155.206 152.077 4.97836 8 12 0.538221 0.0213402
4850 -0.881755 31.454 1.92155 1077 499435 564.731 157.288 151.751 4.92895 4 8 0.53716 0.0207899
4900 0.0900951 31.2484 1.93379 1083 499470 529.542 153.006 150.846 4.89366 5 6 0.535404 0.0203372
4950 -0.378558 31.1914 1.91453 1092 499522 477.859 151.216 148.285 4.93691 6 6 0.534961 0.0208607
5000 -0.35255 31.0083 1.92897 1087 499459 541.357 154.468 146.248 4.91783 7 5 0.533635 0.020897
# Running this program took 140 seconds.
